icao,lat,lon
0PA4,40.2376,-76.7247
0PA5,41.4945,-79.8309
0PA6,40.6309,-77.8503
0PA7,39.8848,-75.4149
0PN0,41.4389,-80.1665
0PN1,40.6994,-79.6189
0PN2,41.0731,-80.0703
0PN4,40.4129,-77.2414
0PN5,41.7792,-79.5984
0PN6,40.169,-77.9925
0PN7,40.1283,-77.6314
0PN8,41.6167,-79.6831
0PN9,41.7195,-79.6778
0PS0,41.3709,-79.3417
0PS3,40.4904,-76.7666
0PS4,41.0084,-78.5609
0PS7,40.5223,-76.8455
0Q3,38.2235,-122.45
0Q4,36.5816,-119.658
0Q5,40.0276,-124.073
0Q6,40.5221,-121.818
0Q8,37.5235,-120.398
0Q9,38.2577,-122.434
0R0,31.297,-89.8128
0R1,31.0162,-87.4468
0R2,38.4039,-93.333
0R3,29.9758,-92.0842
0R4,31.5668,-91.5001
0R5,31.9637,-92.6603
0R6,33.5251,-92.4585
0R7,31.9907,-93.3074
0R9,39.1945,-99.3034
0S0,46.9776,-118.586
0S1,47.8458,-113.409
0S2,39.3772,-99.2951
0S5,46.2374,-116.243
0S7,48.959,-119.412
0S9,48.0548,-122.81
0SD0,45.425,-100.892
0SD1,42.9722,-96.9802
0SD3,45.2694,-103.217
0SD6,44.2889,-101.826
0SD7,43.5244,-101.734
0SD8,43.7828,-100.293
0T3,37.3139,-89.9973
0T7,33.1262,-96.6836
0TA1,34.2195,-101.98
0TA2,34.2167,-101.925
0TA3,30.3043,-102.138
0TA4,32.4979,-96.2705
0TA7,30.1482,-103.893
0TA8,33.8487,-95.4072
0TE0,29.693,-101.162
0TE3,33.9292,-100.842
0TE4,31.081,-96.2152
0TE5,27.4338,-99.1859
0TE6,32.2043,-98.6656
0TE7,30.2518,-98.6225
0TN0,35.6767,-86.8967
0TN1,35.2223,-86.22
0TN2,35.6559,-84.1855
0TN5,35.8674,-86.4978
0TN6,36.1834,-84.0991
0TS0,33.0229,-97.1225
0TS1,33.0987,-97.2725
